feature,importance
overall_diff,0.22748219948246173
attack_diff,0.03179063782640984
defense_diff,0.03115724330518929
left_pokemon_overall,0.024906791994045913
right_pokemon_overall,0.02477929657348661
stamina_diff,0.024011846499817517
right_pokemon_defense,0.020559077943948786
left_pokemon_attack,0.01871511735878305
right_pokemon_attack,0.01794174663229778
left_pokemon_defense,0.017056197106262435
right_pokemon_stamina,0.015942338879000678
left_pokemon_stamina,0.014781494127546915
left_pokemon_type_1_10,0.008771446352419969
right_pokemon_type_1_10,0.007261597956265239
left_pokemon_type_1_18,0.006977644281641608
right_pokemon_type_2_8,0.005979107220167902
left_pokemon_fast_move_type_7,0.005795057754909217
right_pokemon_type_1_18,0.005173060485066579
left_pokemon_type_2_8,0.004702797116735506
left_pokemon_type_1_7,0.004317940518586083
right_pokemon_fast_move_type_7,0.004295169941851627
left_pokemon_type_1_6,0.003984646964493878
right_pokemon_charge_move_1_type_10,0.003803245503469673
right_pokemon_fast_move_type_11,0.003785562145453833
left_pokemon_type_2_9,0.0037312476691598448
left_pokemon_fast_move_type_6,0.0036885398203655435
left_pokemon_fast_move_type_10,0.0035369586413662255
left_pokemon_fast_move_type_18,0.0035135827964871275
left_pokemon_fast_move_type_4,0.0034624833728704044
left_pokemon_type_1_13,0.0034024227596537782
left_pokemon_type_1_11,0.003318737322086284
right_pokemon_type_2_0,0.0032693899520360344
left_pokemon_fast_move_type_15,0.0031421450062950633
right_pokemon_type_1_6,0.00304119547123621
right_pokemon_fast_move_type_4,0.0030262377897016905
left_pokemon_fast_move_type_11,0.002904809765364502
right_pokemon_type_1_1,0.0027846485575843665
left_pokemon_type_1_1,0.0027449497919023753
right_pokemon_charge_move_1_type_16,0.0027061249894404283
right_pokemon_fast_move_type_10,0.0025416548956423606
left_pokemon_fast_move_type_3,0.002485322705339525
right_pokemon_type_1_11,0.0024193969535110183
right_pokemon_type_2_6,0.002393450271553082
right_pokemon_fast_move_type_9,0.002378214960642357
left_pokemon_type_1_15,0.0023543738762010734
right_pokemon_fast_move_15,0.0023503257703805028
right_pokemon_type_1_7,0.0023216112077126547
left_pokemon_charge_move_1_type_6,0.002266391969339891
right_pokemon_charge_move_1_type_18,0.0022618974933504613
right_pokemon_charge_move_2_type_10,0.0022355515693276346
left_pokemon_type_2_6,0.0022343792505622353
right_pokemon_fast_move_type_14,0.0022071716429091473
left_pokemon_type_1_9,0.002182613056920914
left_pokemon_fast_move_type_14,0.002179424877574307
left_pokemon_fast_move_16,0.0021370583892418144
right_pokemon_charge_move_1_type_12,0.002134556466487763
left_pokemon_fast_move_type_2,0.0021322157661760894
right_pokemon_type_1_13,0.002113790661184329
right_pokemon_fast_move_type_5,0.002099936579924539
right_pokemon_type_1_15,0.002087683801605638
right_pokemon_type_1_3,0.002085077190854346
right_pokemon_fast_move_type_8,0.0020333312673640027
right_pokemon_fast_move_type_6,0.002026390639228731
left_pokemon_fast_move_type_16,0.002014772610640178
left_pokemon_fast_move_type_1,0.0020145689870521006
left_pokemon_charge_move_1_type_11,0.002001079741096406
left_pokemon_fast_move_10,0.001991546954127333
left_pokemon_type_2_0,0.0019900307767143255
right_pokemon_type_2_10,0.0019857477770133048
left_pokemon_charge_move_2_13,0.0019420673431261315
left_pokemon_charge_move_1_type_7,0.0019326385249456555
right_pokemon_charge_move_1_type_8,0.001884519069364941
right_pokemon_charge_move_1_type_6,0.0018577634077011026
right_pokemon_fast_move_type_18,0.0018538023199416722
left_pokemon_type_2_17,0.001850978370986373
right_pokemon_fast_move_14,0.0018393123199852805
left_pokemon_type_2_11,0.00183684623239004
left_pokemon_charge_move_1_type_10,0.0018353886495003446
right_pokemon_type_1_16,0.001832206485559999
right_pokemon_type_1_9,0.0018321988661246403
right_pokemon_fast_move_type_15,0.0018057752325664994
left_pokemon_fast_move_type_5,0.0017987839925113886
right_pokemon_type_2_11,0.001798358628994217
right_pokemon_charge_move_1_type_7,0.0017913865759940487
left_pokemon_charge_move_1_type_8,0.0017844788803418837
left_pokemon_fast_move_15,0.0017629555654593099
right_pokemon_type_1_14,0.001760179602152579
right_pokemon_type_1_4,0.0017426724029180754
left_pokemon_charge_move_1_type_18,0.0017208341939760191
right_pokemon_fast_move_type_12,0.0017167083007262804
left_pokemon_type_2_15,0.001716231620807058
left_pokemon_charge_move_2_type_10,0.001714671902299549
right_pokemon_charge_move_1_226,0.0017068771072803442
left_pokemon_charge_move_1_287,0.0017060165351066544
left_pokemon_fast_move_type_9,0.0016733708121164303
left_pokemon_fast_move_type_8,0.0016385718624792956
right_pokemon_fast_move_type_1,0.001637708738532641
right_pokemon_charge_move_1_101,0.0016324130335464376
left_pokemon_type_1_2,0.0016227483650236376
left_pokemon_charge_move_1_218,0.0015964083831212549
left_pokemon_charge_move_1_type_2,0.0015758322556185666
right_pokemon_charge_move_1_253,0.0015594877095873082
left_pokemon_charge_move_2_type_15,0.0015269613603471528
right_pokemon_fast_move_type_2,0.0015258867447576257
left_pokemon_fast_move_139,0.0014939034625080772
left_pokemon_fast_move_type_12,0.0014933963201221295
left_pokemon_type_1_16,0.0014505563612498753
right_pokemon_type_1_17,0.0014433210291835096
left_pokemon_fast_move_4,0.001431027572616833
left_pokemon_charge_move_1_type_12,0.0014226239510157649
left_pokemon_fast_move_95,0.0014166449433914634
left_pokemon_charge_move_1_293,0.0014151076632490972
right_pokemon_charge_move_1_type_11,0.00138802132319473
right_pokemon_type_2_14,0.0013638542596260276
right_pokemon_type_2_16,0.0013591016371023526
left_pokemon_fast_move_130,0.0013559626308189932
right_pokemon_charge_move_2_type_13,0.0013484751363808379
left_pokemon_fast_move_14,0.0013433578910564843
left_pokemon_charge_move_2_type_11,0.0013305185013601014
right_pokemon_fast_move_97,0.0013277630746420064
right_pokemon_charge_move_1_type_2,0.001319213951729549
left_pokemon_charge_move_2_type_1,0.0013040674473568344
left_pokemon_charge_move_2_type_12,0.0013023027551998998
left_pokemon_charge_move_1_type_4,0.0013017837847252094
left_pokemon_charge_move_2_type_8,0.0012713490027631373
right_pokemon_charge_move_2_type_16,0.0012550656422046882
left_pokemon_charge_move_2_153,0.001226364411068632
left_pokemon_fast_move_40,0.001219087608383955
right_pokemon_fast_move_type_3,0.001214848404458041
right_pokemon_type_1_2,0.0012143193657104393
right_pokemon_charge_move_1_164,0.0012089932610627988
right_pokemon_charge_move_2_52,0.0012017735125712287
right_pokemon_charge_move_2_276,0.001200926431877141
left_pokemon_charge_move_2_type_7,0.0011832131865325134
left_pokemon_fast_move_77,0.0011616200745680782
left_pokemon_type_2_14,0.001160353272115629
right_pokemon_type_2_2,0.0011313363678113124
right_pokemon_charge_move_2_194,0.0011283977513183753
right_pokemon_charge_move_1_130,0.0011145247989838587
left_pokemon_charge_move_1_type_9,0.0010971856570174267
left_pokemon_type_1_14,0.0010769275310057434
left_pokemon_charge_move_2_type_4,0.0010633942175214944
right_pokemon_charge_move_1_188,0.0010623631902019572
left_pokemon_type_1_17,0.001061901718571922
left_pokemon_fast_move_134,0.0010600493306359507
left_pokemon_type_1_12,0.0010535510924782182
right_pokemon_charge_move_2_type_9,0.0010487712676952635
right_pokemon_charge_move_1_293,0.001038795118515177
left_pokemon_charge_move_2_230,0.001037165306037401
right_pokemon_charge_move_2_type_6,0.0010358164642816148
left_pokemon_charge_move_2_type_18,0.0010355718879126933
right_pokemon_charge_move_1_11,0.0010344072439398382
right_pokemon_charge_move_1_58,0.0010309541411242568
right_pokemon_type_2_9,0.0010301030708287754
right_pokemon_fast_move_4,0.0010299303168782188
left_pokemon_charge_move_1_type_14,0.0010213989727380394
left_pokemon_charge_move_2_1,0.0010207225494588755
left_pokemon_charge_move_1_130,0.0010064541943720978
right_pokemon_type_2_15,0.0009941080426238552
left_pokemon_fast_move_23,0.0009913018043233165
left_pokemon_charge_move_1_79,0.0009870151496947685
left_pokemon_charge_move_1_type_15,0.0009829162828108287
left_pokemon_type_2_5,0.0009810175353685514
right_pokemon_charge_move_2_type_4,0.0009707949231933724
left_pokemon_fast_move_129,0.0009699501318112073
right_pokemon_charge_move_1_49,0.0009577742958922485
right_pokemon_charge_move_1_type_1,0.0009559936677544033
right_pokemon_charge_move_1_type_13,0.0009552143930194306
right_pokemon_type_2_17,0.0009525663206859138
right_pokemon_fast_move_95,0.0009396854697502417
left_pokemon_fast_move_136,0.0009342396024815987
left_pokemon_charge_move_2_type_13,0.0009309192695485096
left_pokemon_charge_move_2_270,0.0009302674003631884
right_pokemon_charge_move_2_type_11,0.0009213396947893535
left_pokemon_charge_move_1_type_16,0.0009176122308710129
left_pokemon_fast_move_93,0.0009175926348766794
left_pokemon_type_1_3,0.0009169651133810186
right_pokemon_charge_move_1_type_14,0.0009146126263083828
right_pokemon_charge_move_1_143,0.0009145787441259479
right_pokemon_fast_move_112,0.0009125941787557648
left_pokemon_charge_move_2_type_2,0.0009105433506017507
right_pokemon_charge_move_1_38,0.000905865388881769
left_pokemon_fast_move_36,0.0008993010476055469
right_pokemon_type_1_12,0.0008896014165196129
right_pokemon_charge_move_1_type_4,0.0008895499153879828
left_pokemon_type_1_4,0.0008860196060547082
left_pokemon_charge_move_2_216,0.0008858130827853105
left_pokemon_type_2_2,0.0008821792038837942
left_pokemon_charge_move_2_4,0.0008764794808737127
right_pokemon_fast_move_114,0.000865576648312031
left_pokemon_charge_move_2_9,0.0008651107231220671
left_pokemon_type_2_7,0.0008548903502007218
right_pokemon_charge_move_2_58,0.0008487884591594993
left_pokemon_type_2_10,0.0008380005802765325
left_pokemon_charge_move_1_type_3,0.0008309223360096793
right_pokemon_charge_move_1_type_9,0.0008269337038160733
right_pokemon_charge_move_2_200,0.0008264928736309089
right_pokemon_fast_move_16,0.0008152638491417248
right_pokemon_fast_move_36,0.0008102067840749733
right_pokemon_charge_move_2_34,0.0007965553927109344
right_pokemon_charge_move_1_279,0.0007876027286036578
left_pokemon_type_1_5,0.0007871804786379598
right_pokemon_type_2_18,0.0007856550554742365
left_pokemon_charge_move_2_type_5,0.0007853697552609451
left_pokemon_charge_move_2_276,0.0007847050462255401
left_pokemon_fast_move_121,0.0007803022346618448
right_pokemon_charge_move_1_81,0.0007780294652512248
left_pokemon_charge_move_2_97,0.0007747141388554496
left_pokemon_charge_move_1_216,0.0007739851681729812
right_pokemon_charge_move_2_type_8,0.000771929708013794
left_pokemon_type_2_16,0.0007682914566425402
right_pokemon_fast_move_1,0.0007638856844824829
right_pokemon_charge_move_2_type_7,0.0007635696934920503
